date_submitted,survey_consent,latitude,longitude,link_community_site,link_community_na,w1_latitude,w1_longitude,w1_method,w1_region,w1_loc_latitude,w1_loc_longitude,w2,w2_other_specify,w3,w3_other_specify,w4,w5,w5_dont_know,w6,w6_dont_know,w7,w8,w9,w10_mpn,w10_confidence,w10_health_risk,w10_image,w10_c1,w10_c2,w10_c3,w10_c4,w10_c5,w11_magnitude,w11_units,w12,w13_magnitude,w13_units,w14,w15,w16,toilet_type,toilet_shared,waste_removed,waste_treated,waste_disposal,handwash_place,handwash_not_observed_reason,handwash_water,handwash_soap,handwash_water_soap
31/01/2021,Yes,-16.173812,35.0917389,11194723,NA,-16.1734195,35.0916462,GPS,"SC Kwethemule, Thyolo, Malawi",-16.1733813,35.0915904,Borehole or tubewell,NA,NA,NA,Elsewhere,10,NA,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Pit latrine without slab/ Open pit,No,No,Yes,Waste pit is filled in or covered over,Not observed - no handwashing place in dwelling / yard / plot,NA,NA,NA,NA
16/12/2021,Yes,-16.1740106,35.0920985,11194723,NA,-16.1740548,35.0920813,GPS,"SC Kwethemule, Thyolo, Malawi",-16.1740557,35.0920816,Borehole or tubewell,NA,NA,NA,Elsewhere,40,NA,No,NA,Yes,Point of collection (source),E. coli / TTC - Presence/absence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Absent,NA,NA,No,NA,NA,Pit latrine without slab/ Open pit,No,No,Yes,Waste pit is filled in or covered over,Observed - Fixed facility or mobile object in dwelling / yard / plot,NA,Water is available,Soap or detergent not present,NA
31/01/2021,Yes,-16.1765367,35.0955001,11194723,NA,-16.1747568,35.0925289,GPS,"SC Kwethemule, Thyolo, Malawi",-16.1747568,35.0925289,Borehole or tubewell,NA,NA,NA,Elsewhere,30,NA,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Pit latrine without slab/ Open pit,No,No,Yes,Waste pit is filled in or covered over,Not observed - no handwashing place in dwelling / yard / plot,NA,NA,NA,NA
16/12/2021,Yes,-16.1780167,35.1086845,11194723,NA,-16.1754334,35.1121278,GPS,"SC Kwethemule, Thyolo, Malawi",NA,NA,Borehole or tubewell,NA,NA,NA,Elsewhere,20,NA,No,NA,Yes,Point of collection (source),E. coli / TTC - Presence/absence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Absent,NA,NA,No,NA,NA,Pit latrine with slab,No,No,Yes,Waste pit is filled in or covered over,Observed - Fixed facility or mobile object in dwelling / yard / plot,NA,Water is available,Soap or detergent present,NA
28/01/2021,Yes,-16.178811,35.0901729,11194723,NA,-16.1788855,35.0901632,GPS,"SC Kwethemule, Thyolo, Malawi",NA,NA,Borehole or tubewell,NA,NA,NA,Elsewhere,30,NA,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Pit latrine without slab/ Open pit,Yes,No,Yes,Waste pit is filled in or covered over,Not observed - no handwashing place in dwelling / yard / plot,NA,NA,NA,NA
16/12/2021,Yes,-16.1791184,35.0986944,11194723,NA,-16.1790726,35.0986543,GPS,"SC Kwethemule, Thyolo, Malawi",-16.1790086,35.0986303,Borehole or tubewell,NA,NA,NA,Elsewhere,30,NA,No,NA,Yes,Point of collection (source),E. coli / TTC - Presence/absence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Absent,NA,NA,No,NA,NA,Pit latrine without slab/ Open pit,No,No,Yes,Waste pit is filled in or covered over,Observed - Fixed facility or mobile object in dwelling / yard / plot,NA,Water is available,Soap or detergent present,NA
16/12/2021,Yes,-16.1791187,35.0908433,11194723,NA,-16.1790868,35.090839,GPS,"SC Kwethemule, Thyolo, Malawi",-16.1819755,35.0917724,Borehole or tubewell,NA,NA,NA,Elsewhere,15,NA,No,NA,Yes,Point of collection (source),E. coli / TTC - Presence/absence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Absent,NA,NA,No,NA,NA,Pit latrine without slab/ Open pit,No,No,Yes,Waste pit is filled in or covered over,Observed - Fixed facility or mobile object in dwelling / yard / plot,NA,Water is available,Soap or detergent present,NA
16/12/2021,Yes,-16.1792554,35.098367,11194723,NA,-16.1792554,35.098367,GPS,"SC Kwethemule, Thyolo, Malawi",NA,NA,Borehole or tubewell,NA,NA,NA,Elsewhere,10,NA,No,NA,Yes,Point of collection (source),E. coli / TTC - Presence/absence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Absent,NA,NA,No,NA,NA,Pit latrine with slab,No,No,Yes,Waste pit is filled in or covered over,Observed - Fixed facility or mobile object in dwelling / yard / plot,NA,Water is available,Soap or detergent present,NA
16/12/2021,Yes,-16.181833,35.0915413,11194723,NA,-16.178801,35.090142,GPS,"SC Kwethemule, Thyolo, Malawi",-16.1788003,35.0901437,Borehole or tubewell,NA,NA,NA,Elsewhere,30,NA,No,NA,Yes,Point of collection (source),E. coli / TTC - Presence/absence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Absent,NA,NA,No,NA,NA,Pit latrine without slab/ Open pit,No,No,Yes,Waste pit is filled in or covered over,Observed - Fixed facility or mobile object in dwelling / yard / plot,NA,Water is available,Soap or detergent present,NA
11/03/2020,Yes,-16.1008408,35.2733155,11210991,NA,-16.1008739,35.2733705,GPS,"TA Kapichi, Thyolo, Malawi",-16.1008121,35.273361,Borehole or tubewell,NA,NA,NA,Elsewhere,10,NA,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Pit latrine with slab,No,No,No,NA,Not observed - no handwashing place in dwelling / yard / plot,NA,NA,NA,NA
10/03/2020,Yes,-16.1663074,35.273792,11261241,NA,-16.1661945,35.2737775,GPS,"TA Kapichi, Thyolo, Malawi",-16.1662194,35.273753,Borehole or tubewell,NA,NA,NA,Elsewhere,60,NA,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Pit latrine without slab/ Open pit,No,No,No,NA,Not observed - no handwashing place in dwelling / yard / plot,NA,NA,NA,NA
10/03/2020,Yes,-16.171481,35.2737448,11261241,NA,-16.1714626,35.273766,GPS,"TA Kapichi, Thyolo, Malawi",-16.1714626,35.273766,Borehole or tubewell,NA,NA,NA,Elsewhere,30,NA,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Pit latrine without slab/ Open pit,No,No,Yes,Waste pit is filled in or covered over,Not observed - no handwashing place in dwelling / yard / plot,NA,NA,NA,NA
26/01/2021,Yes,-16.04422131,35.23194866,11273099,NA,-16.20568585,35.10925602,GPS,"SC Kwethemule, Thyolo, Malawi",-16.20568585,35.10925602,Borehole or tubewell,NA,NA,NA,Elsewhere,10,NA,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Pit latrine with slab,Yes,No,Yes,Waste pit is filled in or covered over,Observed - Fixed facility or mobile object in dwelling / yard / plot,NA,Water is available,Soap or detergent present,NA
26/01/2021,Yes,-16.20259341,35.11106001,11273099,NA,-16.20287425,35.11081252,GPS,"SC Kwethemule, Thyolo, Malawi",-16.20287425,35.11081252,Borehole or tubewell,NA,NA,NA,Elsewhere,20,NA,Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Pit latrine with slab,Yes,No,Yes,Waste pit is filled in or covered over,Not observed - no handwashing place in dwelling / yard / plot,NA,NA,NA,NA
26/01/2021,Yes,-16.20287425,35.11081252,11273099,NA,-16.20312997,35.11094682,GPS,"SC Kwethemule, Thyolo, Malawi",-16.20312997,35.11094682,Borehole or tubewell,NA,NA,NA,Elsewhere,30,NA,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Pit latrine without slab/ Open pit,No,No,Yes,Waste pit is filled in or covered over,Not observed - no handwashing place in dwelling / yard / plot,NA,NA,NA,NA
26/01/2021,Yes,-16.20303091,35.1106322,11273099,NA,-16.20259341,35.11106001,GPS,"SC Kwethemule, Thyolo, Malawi",-16.20259341,35.11106001,Borehole or tubewell,NA,NA,NA,Elsewhere,35,NA,Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No Facilities or bush or field,Don't Know,Don't Know,NA,NA,Not observed - no handwashing place in dwelling / yard / plot,NA,NA,NA,NA
18/12/2021,Yes,-16.2032882,35.1083988,11273099,NA,-16.2032829,35.1083954,GPS,"SC Kwethemule, Thyolo, Malawi",NA,NA,Borehole or tubewell,NA,NA,NA,Elsewhere,40,NA,No,NA,Yes,Point of collection (source),E. coli / TTC - Presence/absence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Absent,NA,NA,No,NA,NA,Pit latrine without slab/ Open pit,No,No,Yes,Waste pit is filled in or covered over,Observed - Fixed facility or mobile object in dwelling / yard / plot,NA,Water is not available,Soap or detergent not present,NA
26/01/2021,Yes,-16.20332287,35.11225695,11273099,NA,-16.20320793,35.11253024,GPS,"SC Kwethemule, Thyolo, Malawi",-16.20320793,35.11253024,Borehole or tubewell,NA,NA,NA,Elsewhere,70,NA,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Pit latrine without slab/ Open pit,Yes,No,Yes,Waste pit is filled in or covered over,Not observed - no handwashing place in dwelling / yard / plot,NA,NA,NA,NA
26/01/2021,Yes,-16.20346022,35.11063961,11273099,NA,-16.20303091,35.1106322,GPS,"SC Kwethemule, Thyolo, Malawi",-16.20303091,35.1106322,Borehole or tubewell,NA,NA,NA,Elsewhere,60,NA,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No Facilities or bush or field,Don't Know,No,Don't Know,NA,Not observed - no handwashing place in dwelling / yard / plot,NA,NA,NA,NA
18/12/2021,Yes,-16.2035653,35.1089417,11273099,NA,-16.2035156,35.1089901,GPS,"SC Kwethemule, Thyolo, Malawi",-16.2035156,35.1089901,Borehole or tubewell,NA,NA,NA,Elsewhere,30,NA,No,NA,Yes,Point of collection (source),E. coli / TTC - Presence/absence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Absent,NA,NA,No,NA,NA,Pit latrine without slab/ Open pit,No,No,Yes,Waste pit is filled in or covered over,Observed - Fixed facility or mobile object in dwelling / yard / plot,NA,Water is not available,Soap or detergent not present,NA
26/01/2021,Yes,-16.20376158,35.11056597,11273099,NA,-16.20346022,35.11063961,GPS,"SC Kwethemule, Thyolo, Malawi",-16.20346022,35.11063961,Borehole or tubewell,NA,NA,NA,Elsewhere,30,NA,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Pit latrine without slab/ Open pit,No,No,Yes,Waste pit is filled in or covered over,Not observed - no handwashing place in dwelling / yard / plot,NA,NA,NA,NA
18/12/2021,Yes,-16.2039506,35.1077921,11273099,NA,-16.2039506,35.1077921,GPS,"SC Kwethemule, Thyolo, Malawi",NA,NA,Borehole or tubewell,NA,NA,NA,Elsewhere,45,NA,No,NA,Yes,Point of collection (source),E. coli / TTC - Presence/absence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Absent,NA,NA,No,NA,NA,Pit latrine without slab/ Open pit,No,No,Yes,Waste pit is filled in or covered over,Observed - Fixed facility or mobile object in dwelling / yard / plot,NA,Water is not available,Soap or detergent not present,NA
26/01/2021,Yes,-16.20425859,35.11027783,11273099,NA,-16.20419619,35.11033105,GPS,"SC Kwethemule, Thyolo, Malawi",-16.20419619,35.11033105,Borehole or tubewell,NA,NA,NA,Elsewhere,60,NA,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Pit latrine without slab/ Open pit,No,No,Yes,Waste pit is filled in or covered over,Not observed - no handwashing place in dwelling / yard / plot,NA,NA,NA,NA
26/01/2021,Yes,-16.20467493,35.11004083,11273099,NA,-16.20425859,35.11027783,GPS,"SC Kwethemule, Thyolo, Malawi",-16.20425859,35.11027783,Borehole or tubewell,NA,NA,NA,Elsewhere,50,NA,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Pit latrine without slab/ Open pit,No,No,Yes,Waste pit is filled in or covered over,Observed - Fixed facility or mobile object in dwelling / yard / plot,NA,Water is available,Soap or detergent present,NA
18/12/2021,Yes,-16.2047673,35.1096257,11273099,NA,-16.2048561,35.1096403,GPS,"SC Kwethemule, Thyolo, Malawi",-16.2048561,35.1096403,Borehole or tubewell,NA,NA,NA,Elsewhere,60,NA,No,NA,Yes,Point of collection (source),E. coli / TTC - Presence/absence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Absent,NA,NA,No,NA,NA,Pit latrine without slab/ Open pit,No,No,Yes,Waste pit is filled in or covered over,Observed - Fixed facility or mobile object in dwelling / yard / plot,NA,Water is available,Soap or detergent present,NA
26/01/2021,Yes,-16.20487144,35.10861972,11273099,NA,-16.2046016,35.10914854,GPS,"SC Kwethemule, Thyolo, Malawi",-16.2046016,35.10914854,Borehole or tubewell,NA,NA,NA,Elsewhere,20,NA,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Pit latrine with slab,No,No,Yes,Waste pit is filled in or covered over,Not observed - no handwashing place in dwelling / yard / plot,NA,NA,NA,NA
26/01/2021,Yes,-16.2049155,35.11022,11273099,NA,-16.20467493,35.11004083,GPS,"SC Kwethemule, Thyolo, Malawi",-16.20467493,35.11004083,Borehole or tubewell,NA,NA,NA,Elsewhere,40,NA,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Pit latrine without slab/ Open pit,No,No,Yes,Waste pit is filled in or covered over,Not observed - no handwashing place in dwelling / yard / plot,NA,NA,NA,NA
26/01/2021,Yes,-16.20492748,35.10965733,11273099,NA,-16.2049155,35.11022,GPS,"SC Kwethemule, Thyolo, Malawi",-16.2049155,35.11022,Borehole or tubewell,NA,NA,NA,Elsewhere,30,NA,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Pit latrine without slab/ Open pit,Yes,No,Yes,Waste pit is filled in or covered over,Not observed - no handwashing place in dwelling / yard / plot,NA,NA,NA,NA
26/01/2021,Yes,-16.20506241,35.11362348,11273099,NA,-16.20541266,35.11392902,GPS,"SC Kwethemule, Thyolo, Malawi",-16.20541266,35.11392902,Borehole or tubewell,NA,NA,NA,Elsewhere,30,NA,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No Facilities or bush or field,Don't Know,No,Don't Know,NA,Not observed - no handwashing place in dwelling / yard / plot,NA,NA,NA,NA
26/01/2021,Yes,-16.2051779,35.10860931,11273099,NA,-16.20487144,35.10861972,GPS,"SC Kwethemule, Thyolo, Malawi",-16.20487144,35.10861972,Borehole or tubewell,NA,NA,NA,Elsewhere,45,NA,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Pit latrine with slab,No,No,Yes,Waste pit is filled in or covered over,Not observed - no handwashing place in dwelling / yard / plot,NA,NA,NA,NA
26/01/2021,Yes,-16.20532984,35.10942428,11273099,NA,-16.20492748,35.10965733,GPS,"SC Kwethemule, Thyolo, Malawi",-16.20492748,35.10965733,Borehole or tubewell,NA,NA,NA,Elsewhere,30,NA,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Pit latrine without slab/ Open pit,Yes,No,Yes,Waste pit is filled in or covered over,Not observed - no handwashing place in dwelling / yard / plot,NA,NA,NA,NA
26/01/2021,Yes,-16.20541266,35.11392902,11273099,NA,-16.20555801,35.11395998,GPS,"SC Kwethemule, Thyolo, Malawi",-16.20555801,35.11395998,Borehole or tubewell,NA,NA,NA,Elsewhere,30,NA,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Pit latrine without slab/ Open pit,Yes,No,Yes,Waste pit is filled in or covered over,Not observed - no handwashing place in dwelling / yard / plot,NA,NA,NA,NA
26/01/2021,Yes,-16.20548381,35.10912214,11273099,NA,-16.20548381,35.10912214,GPS,"SC Kwethemule, Thyolo, Malawi",-16.20548381,35.10912214,Borehole or tubewell,NA,NA,NA,Elsewhere,40,NA,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Pit latrine without slab/ Open pit,Yes,No,Yes,Waste pit is filled in or covered over,Not observed - no handwashing place in dwelling / yard / plot,NA,NA,NA,NA
26/01/2021,Yes,-16.20555801,35.11395998,11273099,NA,-16.2058614,35.11397506,GPS,"SC Kwethemule, Thyolo, Malawi",-16.2058614,35.11397506,Borehole or tubewell,NA,NA,NA,Elsewhere,40,NA,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Pit latrine with slab,No,No,Yes,Waste pit is filled in or covered over,Not observed - no handwashing place in dwelling / yard / plot,NA,NA,NA,NA
